dataset,model_name,nr_gpus,batch_size,cached_emb_type,backwardMode,run_id,throughput,[D] Forward_Mean,[D] Backward_Mean,[D] Optimize_Mean,[D] AfterBackward_Mean
Freebase,TransE,6,1200,None,CppSync,run_96,244698.20554649262,7697.0,4202.0,6564.0,0.0
Freebase,TransE,6,1200,TorchNativeStdEmb,PySync,run_98,9339.13916484748,6838.0,657233.0,1751.0,0.0
Freebase,TransE,6,1600,KGExternelEmbedding,PySync,run_102,79233.41669349048,8383.0,88358.0,2597.0,0.0
Freebase,TransE,6,1600,KnownLocalCachedEmbedding,CppAsyncV2,run_100,71851.44713305241,5156.0,5117.0,1969.0,47836.0
Freebase,TransE,6,1600,KnownShardedCachedEmbedding,PySync,run_104,48804.294777940464,34460.0,133942.0,18698.0,0.0
Freebase,TransE,6,1600,None,CppSync,run_101,289113.085378708,8630.0,4124.0,7803.0,0.0
Freebase,TransE,6,1600,TorchNativeStdEmb,PySync,run_103,9486.166007905138,8629.0,921868.0,1802.0,0.0
Freebase,TransE,6,2000,KGExternelEmbedding,PySync,run_107,69102.92881246617,9202.0,109350.0,2328.0,0.0
Freebase,TransE,6,2000,KnownLocalCachedEmbedding,CppAsyncV2,run_105,79566.62710437152,5537.0,5477.0,2337.0,55362.0
Freebase,TransE,6,2000,KnownShardedCachedEmbedding,PySync,run_109,54419.05392474752,38237.0,151846.0,21192.0,0.0
Freebase,TransE,6,2000,None,CppSync,run_106,314333.61274098913,10204.0,4138.0,9057.0,0.0
Freebase,TransE,6,2000,TorchNativeStdEmb,PySync,run_108,9132.4200913242,10169.0,1159000.0,2178.0,0.0
Freebase,TransE,8,1200,KGExternelEmbedding,PySync,run_112,96349.74959101538,7567.0,69009.0,2213.0,0.0
Freebase,TransE,8,1200,KnownLocalCachedEmbedding,CppAsyncV2,run_110,68060.97128677774,4753.0,4439.0,1789.0,52499.0
Freebase,TransE,8,1200,KnownShardedCachedEmbedding,PySync,run_114,40494.197940701306,36426.0,172527.0,17343.0,0.0
Freebase,TransE,8,1200,None,CppSync,run_111,326986.61398548994,7440.0,4063.0,6096.0,0.0
Freebase,TransE,8,1200,TorchNativeStdEmb,PySync,run_113,11721.540161537474,7272.0,765082.0,1593.0,0.0
Freebase,TransE,8,1600,KGExternelEmbedding,PySync,run_117,83320.31453418736,8265.0,95823.0,2601.0,0.0
Freebase,TransE,8,1600,KnownLocalCachedEmbedding,CppAsyncV2,run_115,77297.01983755548,5070.0,5180.0,2076.0,64866.0
Freebase,TransE,8,1600,KnownShardedCachedEmbedding,PySync,run_119,49166.663465712016,41984.0,186748.0,24452.0,0.0
Freebase,TransE,8,1600,None,CppSync,run_116,352976.86346965225,9355.0,4147.0,7621.0,0.0
Freebase,TransE,8,1600,TorchNativeStdEmb,PySync,run_118,12121.212121212122,8721.0,965398.0,1912.0,0.0
Freebase,TransE,8,2000,KGExternelEmbedding,PySync,run_122,101241.4735696478,10398.0,112593.0,3055.0,0.0
Freebase,TransE,8,2000,KnownLocalCachedEmbedding,CppAsyncV2,run_120,80374.14162928432,5449.0,5505.0,2314.0,74732.0
Freebase,TransE,8,2000,KnownShardedCachedEmbedding,PySync,run_124,57032.86518856491,47000.0,189014.0,33442.0,0.0
Freebase,TransE,8,2000,None,CppSync,run_121,379524.64538165944,9771.0,4246.0,9136.0,0.0
Freebase,TransE,8,2000,TorchNativeStdEmb,PySync,run_123,11283.497884344148,10025.0,1187000.0,2267.0,0.0
